id,company,title,required_skills,preferred_skills,description,job_type,deadline
1,테크스타트업A,데이터 분석가,"Python, SQL, 통계","R, Tableau, 시각화",사용자 행동 데이터를 분석해 비즈니스 인사이트를 도출합니다. A/B 테스트 설계 및 결과 해석 업무를 담당합니다.,데이터 분석,2026-08-31
2,금융서비스B,데이터 엔지니어,"Python, Spark, SQL","Kafka, Airflow, AWS",대용량 금융 거래 데이터 파이프라인을 설계하고 운영합니다. ETL 프로세스 개발 및 데이터 품질 관리를 담당합니다.,데이터 엔지니어링,2026-09-15
3,AI솔루션C,머신러닝 엔지니어,"Python, PyTorch, 딥러닝","TensorFlow, CUDA, MLOps",AI 모델 개발 및 서비스 배포를 담당합니다. 자연어 처리 및 컴퓨터 비전 프로젝트에 참여합니다.,AI/ML,2026-08-20
4,핀테크D,백엔드 개발자,"JavaScript, Python, SQL","Docker, Kubernetes, MSA",금융 서비스 REST API 서버를 개발합니다. 확장 가능한 백엔드 아키텍처를 설계하고 운영합니다.,백엔드 개발,2026-09-30
5,커머스E,데이터 분석가,"SQL, Python, 엑셀","Looker, 통계분석, A/B테스트",이커머스 판매 및 고객 행동 데이터를 분석해 마케팅 전략 수립을 지원합니다.,데이터 분석,2026-08-31
6,헬스케어F,AI 연구원,"Python, 머신러닝, 논문 작성","NLP, 컴퓨터 비전, PyTorch",의료 데이터 기반 AI 모델을 연구·개발합니다. 논문 작성 및 학회 발표 경험자를 우대합니다.,AI/ML,2026-09-01
7,컨설팅G,경영전략 컨설턴트,"Excel, PowerPoint, 데이터분석","MBA, SQL, Tableau",기업 전략 수립 및 운영 효율화 프로젝트를 수행합니다. 데이터 기반 의사결정을 지원합니다.,경영전략,2026-10-15
8,물류H,공급망 분석가,"SQL, Python, 물류 도메인","ERP, SCM, R",물류 네트워크 최적화 및 수요 예측 모델을 개발합니다. 물류·유통 도메인 이해 필수입니다.,데이터 분석,2026-08-15
9,광고테크I,디지털 마케터,"Google Analytics, 데이터 분석, Excel","Meta Ads, SEO, SQL",디지털 광고 성과를 분석하고 ROI 최적화 전략을 수립합니다. 데이터 기반 캠페인 운영 경험자를 우대합니다.,마케팅,2026-09-20
10,바이오J,생물정보학 연구원,"R, Python, 바이오인포매틱스","BLAST, NGS, Linux",유전체 데이터 분석 파이프라인을 개발합니다. 생물정보학 관련 석사 이상을 우대합니다.,연구개발,2026-08-31
11,스타트업K,프론트엔드 개발자,"JavaScript, React, HTML/CSS","TypeScript, Next.js, Figma",사용자 경험 중심의 프론트엔드 서비스를 개발합니다. 디자인 협업 경험을 우대합니다.,프론트엔드 개발,2026-09-10
